cart_id,customer_id,created_at
1,1813,2024-10-09
2,3258,2024-11-15
3,5810,2025-08-05
4,9785,2025-01-16
5,8145,2024-11-10
6,4714,2025-05-01
7,3153,2025-08-10
8,7088,2024-11-11
9,9173,2024-12-25
10,2802,2025-03-08
11,5439,2024-12-21
12,8811,2024-12-23
13,149,2025-04-18
14,6213,2025-05-06
15,5252,2024-09-29
16,3473,2025-02-10
17,9943,2025-04-10
18,7631,2024-10-03
19,6999,2025-03-13
20,9183,2025-05-06
21,8247,2024-10-06
22,4173,2025-01-18
23,4931,2025-08-08
24,3015,2025-02-10
25,1556,2024-10-31
26,5957,2025-07-12
27,8088,2025-04-25
28,8951,2025-06-01
29,5998,2025-03-25
30,7443,2024-12-15
31,1990,2025-01-02
32,4184,2024-10-13
33,8977,2025-06-17
34,1832,2025-03-08
35,6421,2025-03-02
36,9601,2025-04-09
37,2136,2024-12-16
38,5926,2025-08-31
39,5290,2025-06-27
40,7539,2025-02-12
41,9086,2025-01-29
42,33,2025-03-10
43,3750,2025-03-04
44,9006,2024-10-02
45,5383,2024-10-21
46,9307,2025-09-10
47,1826,2025-03-22
48,3222,2025-08-10
49,1814,2024-11-28
50,868,2025-02-02
51,1079,2025-02-13
52,7359,2025-04-30
53,812,2024-12-02
54,6754,2025-02-01
55,8190,2024-10-29
56,3377,2025-08-23
57,4153,2025-01-31
58,2315,2025-07-30
59,5602,2025-04-24
60,6936,2025-02-08
61,3425,2024-11-05
62,5078,2025-07-28
63,2356,2024-12-30
64,5620,2025-08-20
65,9133,2024-09-29
66,7871,2025-02-02
67,9421,2024-12-31
68,5006,2025-04-09
69,8256,2025-09-14
70,1519,2025-02-10
71,7708,2024-12-20
72,5681,2025-03-31
73,3733,2024-11-10
74,222,2025-08-02
75,4537,2025-07-11
76,8567,2025-02-12
77,9942,2024-10-24
78,7295,2025-08-13
79,6399,2025-05-05
80,7311,2025-02-26
81,5379,2025-08-03
82,7587,2024-09-30
83,2838,2025-08-22
84,4255,2024-09-28
85,9000,2025-08-18
86,5892,2025-03-09
87,357,2024-11-13
88,618,2024-11-07
89,3223,2025-06-29
90,5729,2024-12-24
91,6313,2025-05-26
92,8123,2025-03-29
93,8212,2024-10-25
94,5104,2024-10-31
95,2793,2025-07-19
96,6827,2024-09-23
97,9340,2025-08-13
98,2149,2025-02-11
99,9022,2025-05-13
100,301,2025-06-06
101,1254,2024-11-20
102,5601,2024-09-22
103,2898,2025-01-09
104,3110,2025-07-22
105,3653,2025-05-10
106,6951,2024-12-03
107,7966,2025-09-02
108,4489,2025-08-03
109,7792,2025-07-17
110,8018,2025-06-12
111,3962,2024-10-22
112,4682,2025-08-24
113,7940,2025-04-28
114,28,2024-10-23
115,3311,2025-02-17
116,2143,2025-02-10
117,9854,2025-03-30
118,6056,2025-06-16
119,5830,2025-05-11
120,5098,2025-07-18
121,9384,2025-05-30
122,5833,2025-09-04
123,6076,2025-06-03
124,30,2024-11-23
125,5628,2025-04-24
126,4130,2025-07-26
127,6459,2025-09-03
128,1493,2025-09-09
129,1877,2025-02-04
130,5530,2025-02-01
131,8881,2024-10-25
132,9113,2024-10-14
133,7419,2025-01-31
134,7182,2025-01-03
135,9327,2024-11-01
136,4013,2025-08-26
137,4421,2025-07-02
138,5618,2025-03-25
139,5198,2025-07-30
140,9677,2025-06-29
141,996,2025-09-02
142,5965,2025-04-28
143,785,2025-03-19
144,5163,2025-06-23
145,3270,2024-12-21
146,148,2024-11-16
147,8749,2024-09-26
148,6241,2025-01-08
149,8838,2024-11-02
150,6948,2025-01-23
151,968,2025-03-29
152,3441,2025-09-02
153,8656,2024-12-02
154,7340,2025-04-26
155,162,2025-01-08
156,6026,2024-12-15
157,9842,2024-09-19
158,6290,2025-01-11
159,9125,2025-07-11
160,495,2025-07-25
161,6673,2025-07-13
162,4278,2024-11-19
163,17,2025-03-17
164,3321,2025-02-14
165,3521,2025-09-10
166,4656,2024-10-25
167,1002,2024-11-29
