cart_item_id,cart_id,product_id,quantity
1,603,3622,3
2,4363,2377,1
3,2316,4756,3
4,3094,4796,2
5,1183,2884,2
6,2750,3580,4
7,2361,2401,5
8,652,4649,1
9,2466,2853,5
10,3124,3730,3
11,3439,610,4
12,3330,3891,3
13,4099,4894,1
14,4443,2676,3
15,539,438,3
16,4301,205,4
17,1068,3908,5
18,589,3882,5
19,4124,4329,1
20,2816,2384,5
21,2599,1242,5
22,1353,4189,2
23,2580,1759,5
24,2430,3540,1
25,4230,1800,2
26,1762,1975,2
27,778,3867,3
28,2098,2967,3
29,581,2835,1
30,4854,302,1
31,3745,1500,2
32,4925,4277,5
33,4130,4099,1
34,3027,816,2
35,119,2012,4
36,457,3357,1
37,1741,38,4
38,3514,4470,5
39,1516,844,1
40,705,693,2
41,685,1449,1
42,3898,1553,1
43,4026,4838,3
44,288,4136,2
45,2912,3279,2
46,2392,1713,5
47,806,4352,5
48,4347,2701,5
49,1513,1345,3
50,932,1707,4
51,616,4667,4
52,65,4453,1
53,968,3560,2
54,3802,2068,1
55,1308,786,5
56,2836,3769,4
57,3988,1358,1
58,2133,3650,5
59,525,2731,1
60,1217,1315,3
61,96,228,3
62,728,1189,4
63,3097,2733,4
64,1464,905,4
65,4154,245,5
66,4545,26,4
67,4097,771,2
68,4205,2032,2
69,3191,2568,5
70,2426,3112,4
71,1933,1894,4
72,4515,799,3
73,1749,2889,2
74,3687,3337,1
75,2301,3598,5
76,4491,3125,3
77,1158,1610,5
78,2979,894,3
79,3717,124,5
80,4584,3966,4
81,414,1927,1
82,515,176,3
83,1463,1278,2
84,3007,3717,1
85,515,3745,5
86,4654,675,1
87,2999,2457,3
88,3004,4945,2
89,889,1454,4
90,289,2899,1
91,974,2851,3
92,2206,4083,5
93,1142,122,5
94,3651,96,2
95,778,1043,2
96,692,2796,3
97,2256,3944,5
98,3363,2813,4
99,1232,3141,3
100,601,4167,1
101,4348,2636,3
102,2684,3178,5
103,2642,3873,1
104,2802,4663,1
105,2668,4983,4
106,1369,496,5
107,3931,4431,5
108,3595,431,1
109,70,2507,3
110,864,2925,1
111,4079,3730,4
112,1296,526,1
113,2038,4030,4
114,3240,3776,4
115,4652,3410,5
116,496,3130,4
117,4007,3782,5
118,866,3899,5
119,4843,2919,4
120,4558,3014,3
121,4762,2632,4
122,2469,3206,1
