payment_sk,payment_id,payment_method,payment_status,entry_date_key
1,1,Credit Card,paid,20250923
2,2,Credit Card,pending,20250923
3,3,Cash on Delivery,failed,20250923
4,4,PayPal,paid,20250923
5,5,Credit Card,paid,20250923
6,6,Credit Card,paid,20250923
7,7,Credit Card,paid,20250923
8,8,Credit Card,paid,20250923
9,9,Cash on Delivery,paid,20250923
10,10,PayPal,paid,20250923
11,11,PayPal,paid,20250923
12,12,Credit Card,paid,20250923
13,13,PayPal,pending,20250923
14,14,Cash on Delivery,paid,20250923
15,15,Credit Card,paid,20250923
16,16,Cash on Delivery,failed,20250923
17,17,Credit Card,pending,20250923
18,18,Credit Card,failed,20250923
19,19,Cash on Delivery,paid,20250923
20,20,Cash on Delivery,pending,20250923
21,21,Credit Card,paid,20250923
22,22,Cash on Delivery,failed,20250923
23,23,Credit Card,paid,20250923
24,24,Cash on Delivery,paid,20250923
25,25,Credit Card,paid,20250923
26,26,PayPal,paid,20250923
27,27,PayPal,paid,20250923
28,28,Cash on Delivery,paid,20250923
29,29,Credit Card,paid,20250923
30,30,Cash on Delivery,paid,20250923
31,31,PayPal,paid,20250923
32,32,PayPal,paid,20250923
33,33,Cash on Delivery,paid,20250923
34,34,PayPal,paid,20250923
35,35,Cash on Delivery,paid,20250923
36,36,PayPal,paid,20250923
37,37,PayPal,refunded,20250923
38,38,PayPal,paid,20250923
39,39,PayPal,paid,20250923
40,40,PayPal,paid,20250923
41,41,Credit Card,paid,20250923
42,42,PayPal,paid,20250923
43,43,PayPal,pending,20250923
44,44,Credit Card,paid,20250923
45,45,Credit Card,failed,20250923
46,46,PayPal,paid,20250923
47,47,PayPal,paid,20250923
48,48,Cash on Delivery,paid,20250923
49,49,PayPal,failed,20250923
50,50,PayPal,paid,20250923
51,51,PayPal,paid,20250923
52,52,Credit Card,paid,20250923
53,53,PayPal,refunded,20250923
54,54,Cash on Delivery,paid,20250923
55,55,PayPal,paid,20250923
56,56,Credit Card,refunded,20250923
57,57,Credit Card,paid,20250923
58,58,Cash on Delivery,paid,20250923
59,59,PayPal,paid,20250923
60,60,Credit Card,pending,20250923
61,61,PayPal,pending,20250923
62,62,PayPal,paid,20250923
63,63,Credit Card,paid,20250923
64,64,Credit Card,paid,20250923
65,65,Credit Card,failed,20250923
66,66,PayPal,paid,20250923
67,67,Cash on Delivery,failed,20250923
68,68,PayPal,paid,20250923
69,69,PayPal,paid,20250923
70,70,Cash on Delivery,failed,20250923
71,71,Cash on Delivery,paid,20250923
72,72,Credit Card,paid,20250923
73,73,Credit Card,paid,20250923
74,74,Cash on Delivery,paid,20250923
75,75,Cash on Delivery,paid,20250923
76,76,PayPal,paid,20250923
77,77,PayPal,paid,20250923
78,78,PayPal,failed,20250923
79,79,Credit Card,paid,20250923
80,80,PayPal,paid,20250923
81,81,Cash on Delivery,paid,20250923
82,82,Credit Card,paid,20250923
83,83,Credit Card,paid,20250923
84,84,Credit Card,paid,20250923
85,85,Credit Card,paid,20250923
86,86,PayPal,paid,20250923
87,87,Cash on Delivery,pending,20250923
88,88,Credit Card,paid,20250923
89,89,Credit Card,failed,20250923
90,90,Cash on Delivery,failed,20250923
91,91,PayPal,pending,20250923
92,92,Cash on Delivery,pending,20250923
93,93,Credit Card,paid,20250923
94,94,Credit Card,paid,20250923
95,95,PayPal,pending,20250923
96,96,Cash on Delivery,paid,20250923
97,97,Cash on Delivery,paid,20250923
98,98,Credit Card,paid,20250923
99,99,Credit Card,pending,20250923
100,100,Credit Card,paid,20250923
101,101,Credit Card,pending,20250923
102,102,Credit Card,paid,20250923
103,103,Cash on Delivery,paid,20250923
104,104,Credit Card,pending,20250923
105,105,Cash on Delivery,paid,20250923
106,106,Credit Card,paid,20250923
107,107,Credit Card,paid,20250923
108,108,PayPal,pending,20250923
109,109,Credit Card,paid,20250923
110,110,Cash on Delivery,paid,20250923
111,111,Cash on Delivery,paid,20250923
112,112,PayPal,pending,20250923
113,113,Credit Card,paid,20250923
114,114,Credit Card,failed,20250923
115,115,Cash on Delivery,failed,20250923
116,116,PayPal,paid,20250923
117,117,Credit Card,pending,20250923
118,118,PayPal,paid,20250923
119,119,Cash on Delivery,paid,20250923
120,120,Credit Card,paid,20250923
121,121,Credit Card,paid,20250923
122,122,Credit Card,paid,20250923
123,123,Credit Card,failed,20250923
124,124,Credit Card,paid,20250923
125,125,Cash on Delivery,paid,20250923
126,126,PayPal,paid,20250923
127,127,Cash on Delivery,paid,20250923
128,128,Credit Card,paid,20250923
129,129,Cash on Delivery,paid,20250923
130,130,PayPal,paid,20250923
131,131,PayPal,paid,20250923
132,132,Cash on Delivery,paid,20250923
133,133,PayPal,paid,20250923
134,134,Credit Card,paid,20250923
135,135,Cash on Delivery,paid,20250923
136,136,Cash on Delivery,refunded,20250923
137,137,Cash on Delivery,paid,20250923
138,138,Credit Card,paid,20250923
139,139,Cash on Delivery,pending,20250923
140,140,PayPal,paid,20250923
141,141,Credit Card,paid,20250923
142,142,PayPal,paid,20250923
143,143,Cash on Delivery,pending,20250923
144,144,PayPal,paid,20250923
145,145,Cash on Delivery,refunded,20250923
146,146,PayPal,paid,20250923
147,147,Cash on Delivery,paid,20250923
148,148,Credit Card,paid,20250923
149,149,Cash on Delivery,paid,20250923
150,150,PayPal,paid,20250923
151,151,PayPal,pending,20250923
152,152,Cash on Delivery,failed,20250923
153,153,Cash on Delivery,paid,20250923
154,154,PayPal,paid,20250923
155,155,PayPal,paid,20250923
156,156,Cash on Delivery,paid,20250923
