product_sk,product_id,product_name,description,category_id,category_name,brand,price,price_start_date_key,price_end_date_key,price_is_active,stock_quantity,product_date_key,entry_date_key
1,1,OnePlus Purpose Max,Agent every development say quality.,1,Electronics,OnePlus,687.739990234375,2025-09-24,,1,71,20250808,20250924
2,2,Puma Offer Pro,Opportunity all behavior discussion own.,2,Fashion,Puma,240.2899932861328,2025-09-24,,1,16,20241124,20250924
3,3,Penguin Decide Plus,Information last everything thank serve civil institution everyone democratic shake.,3,Books,Penguin,32.790000915527344,2025-09-24,,1,13,20231204,20250924
4,4,Nivea Best,Benefit suggest page southern role movie win her.,4,Beauty,Nivea,141.16000366210938,2025-09-24,,1,214,20241117,20250924
5,5,Under Armour Finally,Peace technology officer relate animal direction eye bag do big everyone.,5,Sports,Under Armour,146.30999755859375,2025-09-24,,1,445,20250121,20250924
6,6,IKEA They,Class great prove reduce raise author play move.,6,Furniture,IKEA,336.1300048828125,2025-09-24,,1,216,20240324,20250924
7,7,Panasonic Common Plus,Here writer policy news range successful simply director allow.,7,Home Appliances,Panasonic,1436.6800537109375,2025-09-24,,1,172,20240518,20250924
8,8,LEGO Institution Pro,At tree note responsibility defense material those.,8,Toys,LEGO,75.0,2025-09-24,,1,176,20250127,20250924
9,9,PepsiCo Low Pro,Enter east no enjoy once today.,9,Groceries,PepsiCo,73.23999786376953,2025-09-24,,1,274,20240722,20250924
10,10,Johnson & Johnson High,Young catch management sense technology check civil.,10,Health,Johnson & Johnson,115.41999816894531,2025-09-24,,1,282,20250225,20250924
11,11,Continental Knowledge,As high you more wife team activity result race Mr.,11,Automotive,Continental,498.6300048828125,2025-09-24,,1,441,20240410,20250924
12,12,Staedtler Specific,Born itself law west then enjoy may condition.,12,Stationery,Staedtler,56.65999984741211,2025-09-24,,1,23,20250824,20250924
13,13,OnePlus Born Max,Fear police participant check several much single morning a food affect.,1,Electronics,OnePlus,2464.530029296875,2025-09-24,,1,437,20250906,20250924
14,14,Adidas Him,Dream drive note bad rule staff within.,2,Fashion,Adidas,158.25,2025-09-24,,1,232,20241102,20250924
15,15,O'Reilly Space Max,Campaign little near enter their institution.,3,Books,O'Reilly,16.520000457763672,2025-09-24,,1,136,20240227,20250924
16,16,L'Oreal Woman,Sense ready require human public health tonight later easy ask.,4,Beauty,L'Oreal,36.709999084472656,2025-09-24,,1,373,20231002,20250924
17,17,Under Armour Per Lite,Discover detail audience piece director town teacher audience draw protect.,5,Sports,Under Armour,142.27000427246094,2025-09-24,,1,473,20240229,20250924
18,18,Ashley Notice,Rich think office drug list imagine.,6,Furniture,Ashley,454.8399963378906,2025-09-24,,1,166,20231128,20250924
19,19,Philips Bill Pro,Great in tell approach president position art rock song.,7,Home Appliances,Philips,1211.469970703125,2025-09-24,,1,205,20231209,20250924
20,20,Mattel Energy Max,Couple large instead everything economic type.,8,Toys,Mattel,46.459999084472656,2025-09-24,,1,255,20240825,20250924
21,21,Kellogg's System,Better present music address behavior send door image loss ten.,9,Groceries,Kellogg's,64.63999938964844,2025-09-24,,1,73,20250816,20250924
22,22,Pfizer Artist Max,Her world enter six lawyer institution.,10,Health,Pfizer,224.86000061035156,2025-09-24,,1,219,20250405,20250924
23,23,Bridgestone Step,Product main couple design around save article finish anyone live.,11,Automotive,Bridgestone,183.25999450683594,2025-09-24,,1,70,20250830,20250924
24,24,Faber-Castell Tonight,Church whether bag control organization push dog build three east.,12,Stationery,Faber-Castell,60.709999084472656,2025-09-24,,1,440,20241220,20250924
25,25,Apple Among Plus,Bank price north first end prove fire enter capital population lead.,1,Electronics,Apple,2000.989990234375,2025-09-24,,1,216,20250906,20250924
26,26,Uniqlo Society Lite,Act perform none beyond Mrs.,2,Fashion,Uniqlo,242.39999389648438,2025-09-24,,1,239,20241012,20250924
27,27,O'Reilly Evidence,Value thing these hard citizen street.,3,Books,O'Reilly,52.34000015258789,2025-09-24,,1,5,20250315,20250924
28,28,L'Oreal Five,Worker southern more property never use billion there enough threat score.,4,Beauty,L'Oreal,108.77999877929688,2025-09-24,,1,136,20240114,20250924
29,29,Reebok Expert Lite,Painting response data plant enough major town.,5,Sports,Reebok,87.5,2025-09-24,,1,1,20250704,20250924
30,30,Ashley Approach,Plant stop analysis four capital.,6,Furniture,Ashley,541.510009765625,2025-09-24,,1,256,20240406,20250924
31,31,Bosch Color,Necessary into act away third tough nation strong old.,7,Home Appliances,Bosch,177.49000549316406,2025-09-24,,1,320,20240109,20250924
32,32,Mattel Law,Among half value win always group.,8,Toys,Mattel,103.98999786376953,2025-09-24,,1,101,20250226,20250924
