shipping_sk,shipping_id,carrier,tracking_number,shipping_status,entry_date_key
1,1,DHL,TRK90267230,delivered,20250923
2,2,Aramex,TRK38254361,delivered,20250923
3,3,UPS,TRK45148280,shipped,20250923
4,4,Aramex,TRK52779219,shipped,20250923
5,5,UPS,TRK14388479,shipped,20250923
6,6,FedEx,TRK89957636,delivered,20250923
7,7,FedEx,TRK05907176,shipped,20250923
8,8,Aramex,TRK34085376,delivered,20250923
9,9,UPS,TRK08040125,shipped,20250923
10,10,Aramex,TRK84806209,pending,20250923
11,11,Aramex,TRK42613513,delivered,20250923
12,12,FedEx,TRK59919133,delivered,20250923
13,13,DHL,TRK50804153,delivered,20250923
14,14,USPS,TRK40561351,delivered,20250923
15,15,Aramex,TRK39919618,delivered,20250923
16,16,UPS,TRK36408160,delivered,20250923
17,17,UPS,TRK57382968,shipped,20250923
18,18,DHL,TRK06149606,shipped,20250923
19,19,FedEx,TRK74908301,delivered,20250923
20,20,Aramex,TRK92007962,shipped,20250923
21,21,FedEx,TRK37367139,delivered,20250923
22,22,DHL,TRK90382702,shipped,20250923
23,23,Aramex,TRK06298605,pending,20250923
24,24,UPS,TRK27873489,pending,20250923
25,25,FedEx,TRK43931865,delivered,20250923
26,26,Aramex,TRK20872692,shipped,20250923
27,27,FedEx,TRK43098361,delivered,20250923
28,28,DHL,TRK22558970,shipped,20250923
29,29,DHL,TRK41861492,shipped,20250923
30,30,Aramex,TRK17104804,shipped,20250923
31,31,Aramex,TRK28282654,delivered,20250923
32,32,FedEx,TRK08313475,pending,20250923
33,33,DHL,TRK12859249,delivered,20250923
34,34,DHL,TRK82276273,delivered,20250923
35,35,USPS,TRK04769004,delivered,20250923
36,36,DHL,TRK00353840,delivered,20250923
37,37,USPS,TRK51289302,delivered,20250923
38,38,DHL,TRK12461808,shipped,20250923
39,39,DHL,TRK90295678,delivered,20250923
40,40,FedEx,TRK09775666,delivered,20250923
41,41,FedEx,TRK61319063,delivered,20250923
42,42,USPS,TRK20069628,delivered,20250923
43,43,DHL,TRK78121703,delivered,20250923
44,44,DHL,TRK60031944,delivered,20250923
45,45,DHL,TRK24427628,delivered,20250923
46,46,USPS,TRK66267318,delivered,20250923
47,47,UPS,TRK21663827,delivered,20250923
48,48,Aramex,TRK67442311,delivered,20250923
49,49,FedEx,TRK98236656,cancelled,20250923
50,50,USPS,TRK67068157,delivered,20250923
51,51,FedEx,TRK03059037,delivered,20250923
52,52,USPS,TRK56717779,delivered,20250923
53,53,Aramex,TRK26408725,delivered,20250923
54,54,USPS,TRK74246646,delivered,20250923
55,55,UPS,TRK88678741,delivered,20250923
56,56,DHL,TRK48341677,delivered,20250923
57,57,FedEx,TRK06656629,delivered,20250923
58,58,Aramex,TRK56997150,delivered,20250923
59,59,Aramex,TRK51731531,delivered,20250923
60,60,DHL,TRK97622003,delivered,20250923
61,61,FedEx,TRK23712044,delivered,20250923
62,62,Aramex,TRK84950205,delivered,20250923
63,63,Aramex,TRK14170777,delivered,20250923
64,64,FedEx,TRK06166652,delivered,20250923
65,65,USPS,TRK78920693,shipped,20250923
66,66,Aramex,TRK99603613,delivered,20250923
67,67,UPS,TRK62944817,delivered,20250923
68,68,FedEx,TRK78187808,delivered,20250923
69,69,UPS,TRK89696201,shipped,20250923
70,70,FedEx,TRK72396699,delivered,20250923
71,71,DHL,TRK82428014,delivered,20250923
72,72,DHL,TRK71944717,delivered,20250923
73,73,FedEx,TRK87012103,delivered,20250923
74,74,Aramex,TRK71613003,delivered,20250923
75,75,Aramex,TRK58352489,delivered,20250923
76,76,UPS,TRK83860504,delivered,20250923
77,77,USPS,TRK70107977,delivered,20250923
78,78,FedEx,TRK95208614,delivered,20250923
79,79,DHL,TRK32809809,delivered,20250923
80,80,Aramex,TRK41373933,cancelled,20250923
81,81,DHL,TRK85288252,delivered,20250923
82,82,FedEx,TRK00781675,shipped,20250923
83,83,DHL,TRK98175153,pending,20250923
84,84,DHL,TRK35550038,delivered,20250923
85,85,USPS,TRK38349500,delivered,20250923
86,86,DHL,TRK49638544,delivered,20250923
87,87,USPS,TRK98542206,delivered,20250923
88,88,UPS,TRK98696230,delivered,20250923
89,89,USPS,TRK75479913,delivered,20250923
90,90,Aramex,TRK67067028,delivered,20250923
91,91,Aramex,TRK96172254,delivered,20250923
92,92,Aramex,TRK35550470,delivered,20250923
93,93,FedEx,TRK39730552,pending,20250923
94,94,Aramex,TRK53744079,shipped,20250923
95,95,USPS,TRK72436001,shipped,20250923
96,96,DHL,TRK93461731,delivered,20250923
97,97,Aramex,TRK91609969,shipped,20250923
98,98,FedEx,TRK09434556,shipped,20250923
99,99,DHL,TRK31184319,delivered,20250923
100,100,Aramex,TRK08510405,delivered,20250923
101,101,DHL,TRK29119600,delivered,20250923
102,102,DHL,TRK71515924,delivered,20250923
103,103,Aramex,TRK13116277,shipped,20250923
104,104,UPS,TRK49429611,delivered,20250923
105,105,FedEx,TRK84968072,delivered,20250923
106,106,UPS,TRK36020308,shipped,20250923
107,107,USPS,TRK70205090,delivered,20250923
108,108,FedEx,TRK30897125,shipped,20250923
109,109,Aramex,TRK37450651,shipped,20250923
110,110,DHL,TRK15369532,delivered,20250923
111,111,FedEx,TRK49654174,cancelled,20250923
112,112,Aramex,TRK29547784,delivered,20250923
113,113,FedEx,TRK47281800,delivered,20250923
114,114,UPS,TRK55206212,delivered,20250923
115,115,FedEx,TRK52293210,delivered,20250923
116,116,USPS,TRK14961465,delivered,20250923
117,117,UPS,TRK42953555,delivered,20250923
118,118,FedEx,TRK05891649,delivered,20250923
119,119,FedEx,TRK45400445,shipped,20250923
120,120,DHL,TRK07841695,delivered,20250923
121,121,DHL,TRK08820460,delivered,20250923
122,122,Aramex,TRK68195269,delivered,20250923
123,123,UPS,TRK87757525,delivered,20250923
124,124,Aramex,TRK77869954,shipped,20250923
125,125,USPS,TRK94851577,delivered,20250923
126,126,USPS,TRK13686837,delivered,20250923
127,127,DHL,TRK92860180,delivered,20250923
128,128,USPS,TRK65255281,pending,20250923
129,129,USPS,TRK66724307,delivered,20250923
130,130,FedEx,TRK60245197,delivered,20250923
131,131,DHL,TRK00613899,shipped,20250923
132,132,FedEx,TRK99307331,delivered,20250923
133,133,USPS,TRK55626353,shipped,20250923
134,134,USPS,TRK38007639,delivered,20250923
135,135,DHL,TRK01777693,cancelled,20250923
136,136,USPS,TRK06544894,delivered,20250923
137,137,UPS,TRK77535306,delivered,20250923
138,138,Aramex,TRK49099910,delivered,20250923
139,139,Aramex,TRK89649564,delivered,20250923
140,140,UPS,TRK34845724,delivered,20250923
141,141,FedEx,TRK51664488,shipped,20250923
142,142,USPS,TRK80403523,delivered,20250923
143,143,DHL,TRK77626951,delivered,20250923
144,144,FedEx,TRK07975840,cancelled,20250923
145,145,USPS,TRK72131971,delivered,20250923
146,146,FedEx,TRK31993554,pending,20250923
147,147,FedEx,TRK79956461,delivered,20250923
148,148,FedEx,TRK40410976,shipped,20250923
149,149,UPS,TRK82541290,delivered,20250923
150,150,DHL,TRK06032711,delivered,20250923
151,151,DHL,TRK15286025,delivered,20250923
152,152,USPS,TRK86695003,shipped,20250923
153,153,UPS,TRK59389676,delivered,20250923
154,154,Aramex,TRK80752096,delivered,20250923
155,155,Aramex,TRK92903943,delivered,20250923
156,156,FedEx,TRK02620139,shipped,20250923
157,157,Aramex,TRK37030537,delivered,20250923
158,158,UPS,TRK60902853,delivered,20250923
