cart_item_id,cart_id,customer_sk,product_sk,cart_date_key,quantity
1,603,7598,3622,20250627,3
2,4363,847,2377,20250602,1
3,2316,6945,4756,20250415,3
4,3094,7844,4796,20250911,2
5,1183,6442,2884,20250204,2
6,2750,888,3580,20250613,4
7,2361,5786,2401,20250711,5
8,652,665,4649,20250912,1
9,2466,3228,2853,20241002,5
10,3124,9024,3730,20241015,3
11,3439,1125,610,20250131,4
12,3330,1212,3891,20250219,3
13,4099,3610,4894,20250310,1
14,4443,8422,2676,20250101,3
15,539,9185,438,20240918,3
16,4301,7358,205,20241026,4
17,1068,1825,3908,20250203,5
18,589,9970,3882,20241218,5
19,4124,490,4329,20250213,1
20,2816,7310,2384,20241002,5
21,2599,6290,1242,20240922,5
22,1353,3536,4189,20250121,2
23,2580,8166,1759,20250624,5
24,2430,2641,3540,20241014,1
25,4230,3999,1800,20241030,2
26,1762,3766,1975,20240930,2
27,778,6927,3867,20250116,3
28,2098,4604,2967,20240930,3
29,581,3108,2835,20250726,1
30,4854,2241,302,20250914,1
31,3745,4124,1500,20250501,2
32,4925,98,4277,20250123,5
33,4130,6543,4099,20250224,1
34,3027,9596,816,20250209,2
35,119,5830,2012,20250511,4
36,457,5416,3357,20250425,1
37,1741,1958,38,20241212,4
38,3514,341,4470,20241116,5
39,1516,892,844,20250617,1
40,705,766,693,20240924,2
41,685,9439,1449,20250817,1
42,3898,9955,1553,20240919,1
43,4026,1446,4838,20250610,3
44,288,2192,4136,20250731,2
45,2912,362,3279,20241118,2
46,2392,8923,1713,20250911,5
47,806,4943,4352,20250717,5
48,4347,5479,2701,20250413,5
49,1513,473,1345,20250517,3
50,932,9845,1707,20250312,4
51,616,9259,4667,20250408,4
52,65,9133,4453,20240929,1
53,968,4484,3560,20241222,2
54,3802,1795,2068,20241211,1
55,1308,3973,786,20250401,5
56,2836,962,3769,20241226,4
57,3988,9909,1358,20250825,1
58,2133,3122,3650,20250621,5
59,525,1983,2731,20250415,1
60,1217,3915,1315,20250821,3
61,96,6827,228,20240923,3
62,728,1974,1189,20250106,4
63,3097,9189,2733,20250131,4
64,1464,3416,905,20250706,4
65,4154,1941,245,20250828,5
66,4545,931,26,20250123,4
67,4097,9569,771,20241007,2
68,4205,7253,2032,20250702,2
69,3191,9619,2568,20250909,5
70,2426,5884,3112,20250626,4
71,1933,1323,1894,20250308,4
72,4515,8606,799,20250517,3
73,1749,4729,2889,20250323,2
74,3687,8859,3337,20250707,1
75,2301,8036,3598,20250815,5
76,4491,5626,3125,20250121,3
77,1158,5573,1610,20250703,5
78,2979,9147,894,20250824,3
79,3717,1128,124,20241123,5
80,4584,3711,3966,20250416,4
81,414,1102,1927,20241229,1
82,515,7417,176,20241221,3
83,1463,4619,1278,20241031,2
84,3007,3946,3717,20250714,1
85,515,7417,3745,20241221,5
86,4654,4280,675,20241123,1
87,2999,8453,2457,20241118,3
88,3004,5225,4945,20250112,2
89,889,5593,1454,20250212,4
90,289,8376,2899,20250302,1
91,974,1362,2851,20250115,3
92,2206,6593,4083,20250620,5
93,1142,4354,122,20250508,5
94,3651,4910,96,20241015,2
95,778,6927,1043,20250116,2
96,692,4494,2796,20250908,3
97,2256,3156,3944,20241026,5
98,3363,4166,2813,20250317,4
99,1232,4981,3141,20250302,3
100,601,3724,4167,20250618,1
101,4348,4558,2636,20250911,3
102,2684,959,3178,20250612,5
103,2642,8161,3873,20250110,1
104,2802,9477,4663,20241106,1
105,2668,3020,4983,20250806,4
106,1369,2597,496,20240919,5
107,3931,9204,4431,20250316,5
108,3595,9927,431,20250829,1
109,70,1519,2507,20250210,3
110,864,2625,2925,20241229,1
111,4079,7880,3730,20250216,4
112,1296,1004,526,20241015,1
113,2038,7058,4030,20250507,4
114,3240,4036,3776,20250106,4
115,4652,7400,3410,20250111,5
116,496,130,3130,20250702,4
117,4007,4238,3782,20250626,5
118,866,94,3899,20250316,5
119,4843,3657,2919,20250625,4
120,4558,3049,3014,20241117,3
121,4762,6911,2632,20250414,4
122,2469,4453,3206,20240918,1
123,3517,6565,3567,20250505,3
124,3079,4065,136,20250906,4
125,4060,8342,4857,20250317,3
126,4834,4420,1978,20241210,4
127,4115,7872,2192,20250309,1
128,1661,4238,464,20250307,3
129,1036,6241,2683,20250126,1
130,1357,8599,4790,20250219,1
131,3940,7296,2139,20250808,4
132,1204,2848,41,20250604,4
133,1445,3118,2384,20250606,1
134,1412,6547,2263,20250828,4
135,224,129,4277,20250517,4
136,4606,9469,1056,20250402,3
137,1462,7700,3421,20250129,2
138,1281,6543,950,20241226,5
139,3241,8312,705,20240916,1
140,3645,2401,2482,20250612,2
141,2684,959,1782,20250612,2
142,2304,925,1854,20240923,4
143,2717,8858,1369,20250502,2
144,551,870,1857,20250613,1
145,2404,7157,3949,20250425,4
146,3585,6707,2511,20241029,1
147,3177,3956,408,20241026,2
148,2536,299,1289,20250523,2
149,1264,6586,1349,20250712,4
150,2813,4669,2705,20250508,1
151,1102,2210,2890,20250416,4
152,2635,9347,659,20250909,2
153,1135,4027,50,20241010,2
154,3344,4700,2015,20250423,2
155,2521,6686,4387,20250120,2
156,1827,671,354,20241020,5
157,944,5953,2711,20250404,4
158,4095,9346,4920,20250417,1
