order_id;customer_id;order_date;status;payment_id;shipping_id;total_amount
1;4288;30/12/2024;delivered;1;1;2270.9
2;7816;31/10/2023;delivered;2;2;6983.16
3;3086;08/09/2025;delivered;3;3;8362.84
4;2219;19/02/2024;delivered;4;4;7106.88
5;8483;03/04/2024;delivered;5;5;3133.07
6;3916;06/12/2023;delivered;6;6;5257.62
7;670;16/09/2024;delivered;7;7;2498.5
8;8980;19/09/2024;delivered;8;8;1516.9
9;9023;19/03/2025;delivered;9;9;741.22
10;4579;21/01/2024;shipped;10;10;800.31
11;3797;07/08/2024;delivered;11;11;3873.75
12;5944;01/11/2024;delivered;12;12;5725.09
13;144;10/06/2024;shipped;13;13;3779.04
14;1133;12/12/2023;delivered;14;14;5272.97
15;8859;17/10/2023;delivered;15;15;1022.81
16;6973;03/11/2024;delivered;16;16;1271.71
17;3728;02/07/2024;delivered;17;17;1125.35
18;6383;12/01/2024;shipped;18;18;4921.95
19;6293;11/03/2025;delivered;19;19;12437.14
20;2341;04/12/2023;shipped;20;20;537.66
21;4705;11/04/2024;delivered;21;21;988.05
22;3009;20/04/2024;cancelled;22;22;13551.29
23;5466;13/01/2024;delivered;23;23;513.72
24;1994;30/08/2025;delivered;24;24;1108.73
25;8046;03/02/2024;delivered;25;25;5432.79
26;2103;13/01/2024;delivered;26;26;670.32
27;3753;22/02/2025;delivered;27;27;5122.84
28;5642;25/07/2024;delivered;28;28;213.95
29;7861;04/11/2024;shipped;29;29;690.38
30;4597;25/05/2025;cancelled;30;30;1197.51
31;9003;07/03/2024;shipped;31;31;5139.47
32;9751;02/08/2025;delivered;32;32;1445.52
33;7655;23/08/2025;pending;33;33;8312.27
34;5789;23/12/2024;delivered;34;34;5864.2
35;4349;19/06/2025;delivered;35;35;8281.79
36;4559;23/07/2025;delivered;36;36;22282.48
37;7370;23/02/2025;shipped;37;37;5284.92
38;3712;16/07/2025;delivered;38;38;1334.49
39;6865;23/02/2025;delivered;39;39;3228.99
40;4702;22/02/2024;delivered;40;40;1027.16
41;8167;07/10/2024;delivered;41;41;10330.23
42;45;29/03/2024;delivered;42;42;2313.52
43;8017;19/03/2025;delivered;43;43;10732.3
44;9973;18/11/2024;delivered;44;44;1896.89
45;2571;28/01/2025;delivered;45;45;267.91
46;2515;04/01/2025;delivered;46;46;4595.12
47;7459;11/07/2024;delivered;47;47;7421.36
48;895;09/09/2024;pending;48;48;4625.09
49;7332;22/12/2023;delivered;49;49;1269.3
50;1764;28/05/2025;pending;50;50;8774.52
51;4855;01/01/2024;delivered;51;51;2272.42
52;2373;13/04/2025;delivered;52;52;6916.44
53;2375;06/12/2023;delivered;53;53;2573.8
54;8329;06/11/2023;delivered;54;54;3442.87
55;8355;22/01/2025;delivered;55;55;17485.85
56;1016;31/01/2024;delivered;56;56;4224.67
57;8774;18/07/2024;delivered;57;57;3434.91
58;1618;23/11/2024;shipped;58;58;740.62
59;4928;13/02/2024;delivered;59;59;7965.52
60;9898;05/02/2024;delivered;60;60;215.83
61;5390;25/08/2025;shipped;61;61;8682.3
62;1116;14/06/2024;shipped;62;62;561.29
63;2860;31/07/2025;cancelled;63;63;1058.06
64;9807;23/01/2025;delivered;64;64;2627.55
65;969;29/03/2024;delivered;65;65;3450.41
66;1350;09/02/2024;shipped;66;66;2777.59
67;9114;24/09/2024;shipped;67;67;11351.79
68;1964;04/01/2024;delivered;68;68;18907.18
69;2597;21/08/2025;delivered;69;69;1634.24
70;5126;03/03/2025;delivered;70;70;4986.48
71;1269;05/07/2025;delivered;71;71;19261.45
72;7055;26/03/2025;delivered;72;72;17846.31
73;2352;25/03/2025;shipped;73;73;6948.98
74;9512;15/01/2024;delivered;74;74;9378.09
75;5294;05/10/2023;delivered;75;75;4373.22
76;7441;03/10/2023;delivered;76;76;1868.93
77;6077;09/06/2025;delivered;77;77;38.97
78;9120;20/03/2025;delivered;78;78;4165.66
79;7372;07/01/2025;delivered;79;79;4011.68
80;8674;23/08/2025;delivered;80;80;1147.6
81;9663;13/02/2025;delivered;81;81;10444.32
82;1801;14/05/2024;delivered;82;82;4789.96
83;1320;26/05/2025;delivered;83;83;16071.76
84;7888;24/01/2024;delivered;84;84;8438.65
85;4625;19/07/2025;delivered;85;85;455.41
86;1864;05/07/2024;delivered;86;86;5876.41
87;7269;12/10/2024;pending;87;87;10463.52
88;7102;02/10/2024;shipped;88;88;12480.37
89;7837;17/10/2024;delivered;89;89;8524.01
90;7468;21/02/2024;shipped;90;90;6709.55
91;7288;28/12/2024;shipped;91;91;4421.26
92;6747;03/10/2023;delivered;92;92;12446.23
