review_id,product_id,customer_id,rating,comment,review_date
1,1482,3673,1,Not satisfied,2024-01-22
2,1030,9522,4,Would buy again,2024-09-14
3,2931,400,3,Exceeded expectations,2024-10-14
4,359,8007,3,Great quality,2023-12-24
5,2942,1932,4,Not satisfied,2025-08-01
6,3066,1644,5,Exceeded expectations,2025-08-25
7,2062,7510,2,Would buy again,2025-05-07
8,2225,2707,3,Great quality,2025-08-21
9,2587,7030,3,Fast delivery,2023-12-06
10,3754,2279,5,Too small,2025-03-30
11,3856,1807,2,Too small,2025-08-05
12,588,8743,4,Great quality,2025-03-20
13,2136,7902,2,Fast delivery,2025-05-17
14,3227,3262,3,Fast delivery,2025-06-07
15,3702,7192,4,Value for money,2025-04-29
16,4430,1571,2,Fast delivery,2025-04-19
17,3039,8317,3,Too small,2024-03-12
18,813,1898,5,Fast delivery,2024-04-19
19,1448,5165,5,Exceeded expectations,2024-06-30
20,765,5063,5,Exceeded expectations,2025-08-31
21,2642,8550,4,Not satisfied,2025-07-21
22,2417,3788,4,Would buy again,2024-03-17
23,605,6196,3,Would buy again,2024-04-26
24,4958,3530,2,Not satisfied,2024-01-05
25,1392,9084,5,Would buy again,2024-11-29
26,2696,5923,4,Value for money,2024-04-01
27,4421,1625,5,Not satisfied,2024-09-05
28,1716,8865,2,Fast delivery,2025-08-20
29,4884,4583,1,Great quality,2024-04-24
30,1731,7603,5,Fast delivery,2025-02-26
31,1630,7249,2,Would buy again,2023-10-23
32,2533,9971,5,Fast delivery,2025-04-07
33,1964,9756,5,Fast delivery,2024-08-06
34,2361,9313,4,Would buy again,2023-10-11
35,3077,4249,2,Value for money,2025-05-22
36,4316,1946,2,Too small,2024-02-10
37,1809,9552,3,Great quality,2025-08-15
38,4141,6832,4,Not satisfied,2024-05-13
39,976,4441,4,Would buy again,2024-09-08
40,1082,9749,3,Too small,2025-09-07
41,3174,8548,2,Exceeded expectations,2024-09-12
42,1778,7597,2,Fast delivery,2025-03-05
43,1482,8076,2,Exceeded expectations,2024-09-27
44,310,5376,2,Exceeded expectations,2025-08-18
45,494,7713,5,Would buy again,2024-11-23
46,1356,4017,1,Exceeded expectations,2023-11-26
47,4803,9446,5,Not satisfied,2024-03-31
48,4755,7992,3,Too small,2024-03-07
49,2060,1142,2,Value for money,2025-07-03
50,2790,2515,5,Would buy again,2024-12-25
51,3163,807,1,Value for money,2024-10-28
52,3028,3494,2,Not satisfied,2024-02-22
53,2296,824,2,Great quality,2025-07-03
54,4661,7474,3,Great quality,2024-11-19
55,1938,4552,5,Fast delivery,2025-09-02
56,1069,1485,1,Fast delivery,2024-03-05
57,3917,4889,4,Not satisfied,2024-10-28
