shipping_id,order_id,shipping_date,delivery_date,carrier,tracking_number,status
1,1,2024-10-16,,DHL,TRK90267230,delivered
2,2,2025-04-22,,Aramex,TRK38254361,delivered
3,3,2025-06-17,2025-06-29,UPS,TRK45148280,shipped
4,4,2025-01-13,2025-01-26,Aramex,TRK52779219,shipped
5,5,2025-06-26,2025-06-27,UPS,TRK14388479,shipped
6,6,2024-08-03,2024-08-08,FedEx,TRK89957636,delivered
7,7,2024-04-15,2024-04-19,FedEx,TRK05907176,shipped
8,8,2024-07-14,2024-07-18,Aramex,TRK34085376,delivered
9,9,2025-05-11,,UPS,TRK08040125,shipped
10,10,2025-05-25,2025-06-08,Aramex,TRK84806209,pending
11,11,2025-05-21,2025-05-23,Aramex,TRK42613513,delivered
12,12,2024-05-04,2024-05-13,FedEx,TRK59919133,delivered
13,13,2024-10-04,,DHL,TRK50804153,delivered
14,14,2024-12-11,2024-12-23,USPS,TRK40561351,delivered
15,15,2025-04-30,2025-05-07,Aramex,TRK39919618,delivered
16,16,2024-05-17,2024-05-25,UPS,TRK36408160,delivered
17,17,2023-10-23,2023-11-01,UPS,TRK57382968,shipped
18,18,2024-03-06,2024-03-09,DHL,TRK06149606,shipped
19,19,,,FedEx,TRK74908301,delivered
20,20,2024-05-18,2024-05-31,Aramex,TRK92007962,shipped
21,21,2025-07-31,2025-08-06,FedEx,TRK37367139,delivered
22,22,2024-06-12,,DHL,TRK90382702,shipped
23,23,2025-04-19,,Aramex,TRK06298605,pending
24,24,2025-06-14,2025-06-20,UPS,TRK27873489,pending
25,25,2025-04-09,,FedEx,TRK43931865,delivered
26,26,2023-12-18,2023-12-19,Aramex,TRK20872692,shipped
27,27,2024-05-19,,FedEx,TRK43098361,delivered
28,28,2025-02-14,2025-02-19,DHL,TRK22558970,shipped
29,29,2024-09-01,2024-09-10,DHL,TRK41861492,shipped
30,30,2025-01-30,2025-02-06,Aramex,TRK17104804,shipped
31,31,2024-04-17,2024-04-23,Aramex,TRK28282654,delivered
32,32,,,FedEx,TRK08313475,pending
33,33,2024-12-22,2024-12-25,DHL,TRK12859249,delivered
34,34,2025-01-03,,DHL,TRK82276273,delivered
35,35,2024-01-22,2024-01-30,USPS,TRK04769004,delivered
36,36,2025-03-31,2025-04-01,DHL,TRK00353840,delivered
37,37,2024-05-19,2024-06-01,USPS,TRK51289302,delivered
38,38,,,DHL,TRK12461808,shipped
39,39,2024-09-11,2024-09-20,DHL,TRK90295678,delivered
40,40,2025-06-02,2025-06-09,FedEx,TRK09775666,delivered
41,41,2024-07-02,2024-07-09,FedEx,TRK61319063,delivered
42,42,2025-08-05,2025-08-19,USPS,TRK20069628,delivered
43,43,2025-03-09,2025-03-17,DHL,TRK78121703,delivered
44,44,2024-06-23,2024-07-05,DHL,TRK60031944,delivered
45,45,2025-05-27,2025-06-03,DHL,TRK24427628,delivered
46,46,2025-06-30,2025-07-11,USPS,TRK66267318,delivered
47,47,2025-04-10,2025-04-24,UPS,TRK21663827,delivered
48,48,2025-03-16,2025-03-17,Aramex,TRK67442311,delivered
49,49,2024-12-29,,FedEx,TRK98236656,cancelled
50,50,,,USPS,TRK67068157,delivered
51,51,2023-11-06,,FedEx,TRK03059037,delivered
52,52,2025-05-20,2025-05-27,USPS,TRK56717779,delivered
53,53,2024-04-10,2024-04-11,Aramex,TRK26408725,delivered
54,54,2024-09-26,2024-10-02,USPS,TRK74246646,delivered
55,55,2024-10-13,2024-10-17,UPS,TRK88678741,delivered
56,56,2025-01-20,2025-01-24,DHL,TRK48341677,delivered
57,57,2025-02-28,2025-03-04,FedEx,TRK06656629,delivered
58,58,,,Aramex,TRK56997150,delivered
59,59,2025-07-01,2025-07-06,Aramex,TRK51731531,delivered
60,60,2023-10-18,,DHL,TRK97622003,delivered
61,61,,,FedEx,TRK23712044,delivered
62,62,2025-06-26,2025-07-03,Aramex,TRK84950205,delivered
63,63,2025-09-13,2025-09-25,Aramex,TRK14170777,delivered
64,64,,,FedEx,TRK06166652,delivered
65,65,2025-06-25,2025-07-04,USPS,TRK78920693,shipped
66,66,2025-07-26,,Aramex,TRK99603613,delivered
67,67,2024-05-21,2024-05-24,UPS,TRK62944817,delivered
68,68,2025-08-24,2025-09-06,FedEx,TRK78187808,delivered
69,69,2023-10-24,2023-10-31,UPS,TRK89696201,shipped
70,70,2023-11-06,2023-11-13,FedEx,TRK72396699,delivered
71,71,2025-05-03,2025-05-10,DHL,TRK82428014,delivered
72,72,2025-05-25,2025-05-27,DHL,TRK71944717,delivered
73,73,2024-11-08,2024-11-20,FedEx,TRK87012103,delivered
74,74,2023-09-29,2023-10-04,Aramex,TRK71613003,delivered
75,75,2025-08-16,2025-08-23,Aramex,TRK58352489,delivered
76,76,2024-03-07,2024-03-16,UPS,TRK83860504,delivered
77,77,2023-10-19,,USPS,TRK70107977,delivered
78,78,2025-08-21,2025-08-28,FedEx,TRK95208614,delivered
79,79,2024-09-03,2024-09-11,DHL,TRK32809809,delivered
80,80,2024-02-26,2024-03-04,Aramex,TRK41373933,cancelled
81,81,,,DHL,TRK85288252,delivered
